City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
206,Sao Filipe,CV,14.8961,-24.4956,77.63,59,0,9.62,clear sky
207,Katsuura,JP,35.1333,140.3,46.51,59,4,22.62,clear sky
208,Muros,ES,42.7762,-9.0603,60.15,93,98,19.82,overcast clouds
209,Kologriv,RU,58.8275,44.3178,33.22,96,100,9.89,overcast clouds
210,Enumclaw,US,47.2043,-121.9915,21.11,55,100,15.99,overcast clouds
211,Casambalangan,PH,18.3765,122.1274,69.6,80,100,13.89,overcast clouds
212,Korla,CN,41.7597,86.1469,23.04,41,74,2.21,broken clouds
213,Manokwari,ID,-0.8667,134.0833,78.73,82,100,2.73,overcast clouds
214,Egvekinot,RU,66.3167,-179.1667,7.09,57,0,16.17,clear sky
215,Tortoli,IT,39.9256,9.6572,57.07,71,29,7.29,scattered clouds
216,Aksum,ET,14.1245,38.7244,65.66,34,60,9.42,broken clouds
217,Akyab,MM,20.15,92.9,69.67,72,98,8.55,overcast clouds
218,Ternate,ID,0.8,127.4,81.63,81,30,6.42,scattered clouds
219,Faanui,PF,-16.4833,-151.75,80.46,77,99,19.44,overcast clouds
220,Saint-Francois,FR,46.4154,3.9054,51.24,93,75,12.66,light rain
221,Mookane,BW,-23.688,26.6595,74.89,40,0,6.82,clear sky
222,Namibe,AO,-15.1961,12.1522,69.03,76,96,12.08,overcast clouds
223,Asilah,MA,35.465,-6.0348,62.56,79,4,8.43,clear sky
224,Kindu,CD,-2.95,25.95,69.35,97,100,1.36,overcast clouds
225,Alepe,CI,5.5004,-3.6631,84.07,64,31,6.73,scattered clouds
226,Corn Island,NI,12.1694,-83.0418,80.73,73,55,18.03,broken clouds
227,Kinkala,CG,-4.3614,14.7644,71.04,94,97,1.39,overcast clouds
228,Nome,US,64.5011,-165.4064,10.54,60,0,10.98,clear sky
229,Berlevag,NO,70.8578,29.0864,26.6,74,0,10.36,clear sky
230,Avanigadda,IN,16.0215,80.9181,69.94,77,83,4.92,broken clouds
231,Saldanha,ZA,-33.0117,17.9442,65.37,87,39,9.78,scattered clouds
232,Strezhevoy,RU,60.7333,77.5889,-19.5,98,60,6.24,broken clouds
233,Mahibadhoo,MV,3.7833,72.9667,79.99,75,100,3.65,overcast clouds
234,Muisne,EC,0.6,-80.0333,78.24,78,91,9.28,overcast clouds
235,Gizo,SB,-8.103,156.8419,81.57,80,93,4.79,moderate rain
236,Alofi,NU,-19.0595,-169.9187,79.83,75,13,15.68,few clouds
237,Marawi,PH,7.9986,124.2928,68.79,95,80,1.66,moderate rain
238,Stephenville,US,32.2207,-98.2023,18.77,79,100,24.16,overcast clouds
239,Gamba,GA,-2.65,10.0,77.63,84,98,5.44,overcast clouds
240,Minab,IR,27.1467,57.0801,69.12,44,6,2.35,clear sky
241,Ahipara,NZ,-35.1667,173.1667,60.87,90,17,4.5,few clouds
242,South Sioux City,US,42.4739,-96.4136,-11.25,68,100,28.77,haze
243,San Esteban,HN,15.2,-85.75,79.86,60,27,3.11,scattered clouds
244,Abay,KZ,49.6311,72.8539,1.78,98,100,6.17,overcast clouds
245,Cabo San Lucas,MX,22.8909,-109.9124,76.51,64,0,4.0,clear sky
246,Burnie,AU,-41.0667,145.9167,51.94,80,8,4.76,clear sky
